3a: Find hourly (24 hours) and monthly (12 months) counts of collision using CUBE based OLAP query

+----+-----+---------------+
|HOUR|MONTH|COLLISION_COUNT|
+----+-----+---------------+
|null|1    |17551          |
|null|2    |15835          |
|null|3    |19334          |
|null|4    |17828          |
|null|5    |21012          |
|null|6    |21369          |
|null|7    |19593          |
|null|8    |19133          |
|null|9    |19604          |
|null|10   |20358          |
|null|11   |19660          |
|null|12   |19715          |
|null|null |230992         |
|0   |null |8379           |
|1   |null |3586           |
|2   |null |2663           |
|3   |null |2352           |
|4   |null |2765           |
|5   |null |3127           |
|6   |null |4954           |
|7   |null |7348           |
|8   |null |12955          |
|9   |null |12348          |
|10  |null |11662          |
|11  |null |12092          |
|12  |null |12634          |
|13  |null |13612          |
|14  |null |15753          |
|15  |null |14675          |
|16  |null |16973          |
|17  |null |16691          |
|18  |null |14280          |
|19  |null |11570          |
|20  |null |9410           |
|21  |null |7952           |
|22  |null |7318           |
|23  |null |5893           |
|0   |1    |592            |
|0   |2    |539            |
|0   |3    |648            |
|0   |4    |659            |
|0   |5    |772            |
|0   |6    |801            |
|0   |7    |734            |
|0   |8    |760            |
|0   |9    |712            |
|0   |10   |688            |
|0   |11   |752            |
|0   |12   |722            |
|1   |1    |280            |
|1   |2    |236            |
|1   |3    |237            |
|1   |4    |312            |
|1   |5    |315            |
|1   |6    |282            |
|1   |7    |352            |
|1   |8    |333            |
|1   |9    |306            |
|1   |10   |284            |
|1   |11   |316            |
|1   |12   |333            |
|2   |1    |235            |
|2   |2    |156            |
|2   |3    |188            |
|2   |4    |213            |
|2   |5    |220            |
|2   |6    |236            |
|2   |7    |234            |
|2   |8    |252            |
|2   |9    |257            |
|2   |10   |225            |
|2   |11   |186            |
|2   |12   |261            |
|3   |1    |185            |
|3   |2    |164            |
|3   |3    |226            |
|3   |4    |176            |
|3   |5    |192            |
|3   |6    |191            |
|3   |7    |212            |
|3   |8    |205            |
|3   |9    |195            |
|3   |10   |208            |
|3   |11   |185            |
|3   |12   |213            |
|4   |1    |253            |
|4   |2    |197            |
|4   |3    |231            |
|4   |4    |234            |
|4   |5    |241            |
|4   |6    |219            |
|4   |7    |227            |
|4   |8    |203            |
|4   |9    |223            |
|4   |10   |262            |
|4   |11   |231            |
|4   |12   |244            |
|5   |1    |282            |
|5   |2    |224            |
|5   |3    |273            |
|5   |4    |251            |
|5   |5    |248            |
|5   |6    |253            |
|5   |7    |245            |
|5   |8    |250            |
|5   |9    |249            |
|5   |10   |282            |
|5   |11   |291            |
|5   |12   |279            |
|6   |1    |459            |
|6   |2    |364            |
|6   |3    |435            |
|6   |4    |333            |
|6   |5    |417            |
|6   |6    |420            |
|6   |7    |370            |
|6   |8    |363            |
|6   |9    |371            |
|6   |10   |511            |
|6   |11   |460            |
|6   |12   |451            |
|7   |1    |582            |
|7   |2    |535            |
|7   |3    |599            |
|7   |4    |548            |
|7   |5    |696            |
|7   |6    |635            |
|7   |7    |539            |
|7   |8    |496            |
|7   |9    |682            |
|7   |10   |749            |
|7   |11   |723            |
|7   |12   |564            |
|8   |1    |1021           |
|8   |2    |979            |
|8   |3    |1258           |
|8   |4    |923            |
|8   |5    |1210           |
|8   |6    |1147           |
|8   |7    |923            |
|8   |8    |922            |
|8   |9    |1097           |
|8   |10   |1239           |
|8   |11   |1198           |
|8   |12   |1038           |
|9   |1    |941            |
|9   |2    |942            |
|9   |3    |1131           |
|9   |4    |855            |
|9   |5    |1135           |
|9   |6    |1036           |
|9   |7    |974            |
|9   |8    |938            |
|9   |9    |1104           |
|9   |10   |1150           |
|9   |11   |1141           |
|9   |12   |1001           |
|10  |1    |894            |
|10  |2    |839            |
|10  |3    |986            |
|10  |4    |901            |
|10  |5    |1060           |
|10  |6    |1026           |
|10  |7    |973            |
|10  |8    |970            |
|10  |9    |1024           |
|10  |10   |1004           |
|10  |11   |1011           |
|10  |12   |974            |
|11  |1    |934            |
|11  |2    |908            |
|11  |3    |958            |
|11  |4    |856            |
|11  |5    |1098           |
|11  |6    |1128           |
|11  |7    |1104           |
|11  |8    |1052           |
|11  |9    |1003           |
|11  |10   |981            |
|11  |11   |1041           |
|11  |12   |1029           |
|12  |1    |930            |
|12  |2    |851            |
|12  |3    |1079           |
|12  |4    |967            |
|12  |5    |1164           |
|12  |6    |1151           |
|12  |7    |1111           |
|12  |8    |1045           |
