Age	Year	Count
8	2000	257079
11	2001	48405
9	2003	189007
4	2003	203399
10	2014	139865
7	2017	261832
11	2017	168645
9	2000	155903
5	2015	301159
9	2001	163839
1	2001	25729
1	2004	25483
5	2010	299919
5	2014	283742
2	2014	67040
10	2015	146259
2	2018	52734
1	2012	21571
2	2016	58259
11	2019	187405
10	2002	92414
5	2003	217436
4	2010	239659
12	2011	13449
7	2001	302435
10	2005	112196
11	2005	66411
1	2006	22786
2	2007	122004
7	2009	222214
11	2010	97934
3	2010	130956
1	2010	22952
6	2012	251206
8	2013	170218
9	2014	156154
6	2018	346579
8	2008	258274
6	2010	237947
7	2011	188123
2	2017	57556
2	2000	112758
9	2008	237557
3	2009	140382
4	2011	237669
2	2011	121057
6	2016	294752
1	2019	11631
4	2000	162378
9	2002	186069
2	2004	121116
1	2005	23320
4	2007	230720
6	2015	265623
12	2015	16905
5	2008	306327
6	2011	250866
9	2013	172033
12	2014	15070
8	2019	189110
5	2004	224927
7	2008	240391
3	2016	70147
4	2017	184254
12	2017	24006
5	2019	305083
3	2000	114899
4	2001	177532
3	2001	117737
12	2003	11238
8	2004	269832
5	2007	284809
12	2010	13261
9	2015	158471
2	2015	61202
8	2018	193853
10	2000	75123
1	2003	27446
11	2003	57970
3	2004	122123
5	2005	255936
12	2005	11626
3	2012	108967
10	2013	146265
3	2014	77785
10	2019	154447
7	2002	305401
11	2002	55733
7	2006	256012
6	2007	220435
2	2010	118564
11	2012	110116
8	2017	176128
9	2018	179949
7	2004	258358
3	2007	128421
1	2011	24233
7	2014	179124
10	2016	150274
5	2002	214383
12	2006	11639
12	2008	13156
8	2005	279210
2	2008	131584
4	2008	245301
7	2010	198573
11	2013	113154
5	2018	356845
12	2004	10849
10	2007	131221
8	2015	154438
1	2017	12371
11	2018	195057
6	2000	266129
3	2005	128879
11	2007	79943
9	2009	231304
8	2010	211502
11	2016	142228
3	2017	69785
4	2004	209145
4	2005	227312
2	2006	123443
11	2011	107347
7	2018	287211
6	2019	319724
9	2004	187605
11	2008	91501
6	2009	239023
4	2012	225904
4	2013	218956
6	2014	249091
1	2016	11338
7	2000	313084
2	2002	130274
7	2015	196234
11	2015	128953
11	2000	48256
3	2008	137686
4	2009	249352
10	2010	144778
5	2011	301697
8	2016	158789
10	2001	80774
7	2003	283204
11	2004	58564
5	2006	274580
9	2016	162285
2	2019	45419
3	2019	52332
10	2012	148764
6	2017	327488
4	2018	172250
8	2002	282279
1	2009	24853
10	2011	152888
6	2002	259881
4	2006	230794
8	2006	272826
8	2011	205039
1	2015	11870
12	2019	29901
8	2003	281088
3	2003	123789
2	2003	129600
9	2007	225604
1	2000	25006
2	2001	119808
1	2002	27742
7	2005	262053
3	2006	128901
3	2011	122372
12	2012	14477
12	2001	11064
12	2002	11169
4	2002	198660
6	2008	234378
10	2017	163014
4	2019	140585
12	2000	11840
9	2005	205915
4	2015	188402
10	2003	96186
5	2012	291794
5	2017	355504
6	2003	245580
6	2005	229179
6	2013	254633
3	2015	71424
10	2018	169647
9	2006	217805
1	2008	25809
10	2009	149185
11	2006	73874
10	2006	121690
8	2007	262372
12	2007	12009
12	2009	13578
2	2012	102190
2	2013	85802
5	2016	330021
12	2016	19272
10	2004	99023
10	2008	146504
11	2009	95836
12	2013	14992
6	2001	257993
1	2007	23580
3	2013	95580
5	2000	206524
4	2014	196613
4	2016	189529
9	2017	175429
3	2018	64847
9	2019	160683
3	2002	125315
8	2009	237097
2	2009	131537
8	2012	186273
1	2014	13521
7	2016	225562
8	2001	262829
5	2009	311580
1	2018	11889
5	2001	201793
6	2004	226626
2	2005	121717
7	2007	245304
7	2013	179405
8	2014	154501
7	2019	268047
9	2010	211765
9	2011	205785
5	2013	291224
1	2013	18250
6	2006	222341
9	2012	187940
7	2012	179000
11	2014	115069
12	2018	29648
